电影名称,别称,导演,主演,年代,地区,影片类型,评分,评价人数,简介
风之谷,/ 风谷少女  /  Kaze no tani no Naushika,宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,岛本须美 Sumi Shimamoto / 松田洋治 Y...,,1984,动画 奇幻 冒险,8.9,,
上帝之城,/ 无主之城(港)  /  无法无天(台),费尔南多·梅里尔斯 Fernando Meirelle,,,2002,犯罪 剧情,9.0,,
英雄本色,/ A Better Tomorrow  /  Gangland Boss,吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,,1986,剧情 动作 犯罪,8.6,,
疯狂的石头,/ Crazy Stone,宁浩 Hao Ning   主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,,2006,喜剧 犯罪,8.6,,
雨中曲,/ 万花嬉春(港 / 台),斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly   主演: 吉恩·...,吉恩·...,,1952,喜剧 歌舞 爱情,9.1,,
心迷宫,/ 殡棺  /  The Coffin in the Mountain,忻钰坤 Yukun Xin   主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,,2014,剧情 犯罪 悬疑,8.7,,
2001太空漫游,/ 2001：星际漫游  /  2001：太空奥德赛,斯坦利·库布里克 Stanley Kubrick   主演: 凯尔·杜拉 Keir Dullea / ...,凯尔·杜拉 Keir Dullea / ...,,1968,科幻 惊悚 冒险,8.9,,
纵横四海,/ Once a Thief,吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Le,周润发 Yun-Fat Chow / 张国荣 Le,,1991,剧情 喜剧 动作 犯罪,8.8,,
末路狂花,/ 塞尔玛与路易丝  /  末路狂花,雷德利·斯科特 Ridley Scott   主演: 吉娜·戴维斯 Geena Davi,吉娜·戴维斯 Geena Davi,,1991,犯罪 剧情 惊悚,9.0,,
记忆碎片,/ 凶心人(港)  /  记忆拼图(台),克里斯托弗·诺兰 Chri,盖·皮尔斯 Guy Pearce /...,,2000,犯罪 剧情 悬疑 惊悚,8.7,,
卢旺达饭店,/ 卢安达饭店(台),特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,唐·钱德尔 Don Cheadle / 苏菲·奥...,,2004,剧情 传记 历史 战争,8.9,,
高山下的花环,/ 卫国军魂(港)  /  Wreaths at the Foot of the Mountain,谢晋 Jin Xie   主演: 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,,1984(中国大陆),剧情 战争,9.5,,
无敌破坏王,/ 破坏王拉尔夫  /  破坏王大冒险,瑞奇·莫尔 Rich Moore   主演: 约翰·C·赖利 John C. Reilly / 萨拉...,约翰·C·赖利 John C. Reilly / 萨拉...,,2012,喜剧 动画 奇幻 冒险,8.7,,
小偷家族,/ Shoplifters  /  Une Affaire de Famille,是枝裕和 Hirokazu Koreeda   主演: 中川雅也 Lily Franky / 安藤樱 Sa...,中川雅也 Lily Franky / 安藤樱 Sa...,,2018,剧情 犯罪 家庭,8.7,,
冰川时代,/ 冰河世纪  /  冰原历险记,卡洛斯·沙尔丹哈 Carlo,,,2002,喜剧 动画 冒险,8.7,,
恐怖游轮,/ 汪洋血迷宮(台)  /  轮回三角,克里斯托弗·史密斯 Chri,梅利莎·乔治 Meli,,2009,剧情 悬疑 惊悚,8.5,,
东京教父,/ Tokyo Godfathers,今敏 Sato,江守彻 Toru Emori / 梅垣义明 Yo,,2003,剧情 喜剧 动画,9.0,,
牯岭街少年杀人事件,/ A Brighter Summer Day,杨德昌 Edward Yang   主演: 张震 Chen Chang / 杨静怡 Li,张震 Chen Chang / 杨静怡 Li,,1991,剧情 犯罪,8.9,,
魔女宅急便,/ 魔女琪琪(台)  /  小魔女限时专送,宫崎骏 Hayao Miyazaki   主演: 高山南 Minami Takayama / 佐久间玲 Re...,高山南 Minami Takayama / 佐久间玲 Re...,,1989,动画 奇幻 冒险,8.7,,
岁月神偷,/ 1969太空漫游  /  Echoes Of The Rainbow,罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,,2010,剧情 家庭,8.7,,
忠犬八公物语,/ 八千公物语  /  阿八的故事,神山征二郎 Seijirô Kôyama   主演: 仲代达矢 Tat,仲代达矢 Tat,,1987,剧情,9.2,,
荒蛮故事,/ 蛮荒故事  /  生命中最抓狂的小事(台),达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...,达里奥·葛兰帝内提 Darío...,,2014,剧情 喜剧 犯罪,8.7,,
遗愿清单,/ 玩转身前事(港)  /  一路玩到挂(台),罗伯·莱纳 Rob Reiner   主演: 杰克·尼科尔森 Jack Nichol,杰克·尼科尔森 Jack Nichol,,2007,冒险 喜剧 剧情,8.7,,
大佛普拉斯,/ The Great Buddha+,黄信尧 H,庄益增 Yizeng Zhuang / 陈竹昇 Chu-,,2017,剧情 喜剧,8.7,,
贫民窟的百万富翁,/ 一百万零一夜(港)  /  贫民百万富翁(台),丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...,戴夫...,,2008,剧情 爱情,8.6,,
芙蓉镇,/ Hibiscus Town,谢晋 Jin Xie   主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,,1987,剧情 爱情,9.3,,
源代码,/ 启动原始码(台)  /  危机解密(港),邓肯·琼斯 Duncan Jone,杰克·吉伦哈尔 Jake Gyllenhaal / ...,,2011,科幻 悬疑 惊悚,8.6,,
疯狂的麦克斯4：狂暴之路,/ 末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),乔治·米勒 George Miller   主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,汤姆·哈迪 Tom Hardy / 查理兹·塞...,,2015,动作 科幻 冒险,8.7,,
你看起来好像很好吃,/ 你看起来很好吃(台)  /  你看上去好像很好吃,藤森雅也 Ma,山口胜平 Kappei Yamaguchi / 爱河...,,2010,剧情 动画 儿童,8.9,,
东邪西毒,/ Ashes of Time,王家卫 Kar Wai Wong   主演: 张国荣 Le,张国荣 Le,,1994,剧情 动作 爱情 武侠 古装,8.6,,
可可西里,/ Kekexili: Mountain Patrol,陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,,2004,剧情 犯罪,8.9,,
爆裂鼓手,/ 鼓动真我(港)  /  进击的鼓手(台),达米恩·查泽雷 Damien Chazelle   主演: 迈尔斯·特勒 Mile,迈尔斯·特勒 Mile,,2014,剧情 音乐,8.6,,
城市之光,/ City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,查理·卓别林 Charle,查理·卓别林 Charle,,1931,喜剧 剧情 爱情,9.3,,
波西米亚狂想曲,/ 波希米亚狂想曲：摇滚传说(港)  /  波希米亚狂想曲(台),布莱恩·辛格 Bryan Singer   主演: 拉米·马雷克 Rami Malek / 本·哈...,拉米·马雷克 Rami Malek / 本·哈...,,2018,剧情 传记 同性 音乐,8.6,,
花束般的恋爱,/ 她和他的恋爱花期(港)  /  爱如花束 恋恋不忘,土井裕泰 Nobuhiro Doi   主演: 菅田将晖 Ma,菅田将晖 Ma,,2021,剧情 爱情,8.6,,
黑天鹅,/ 夺命黑天鹅  /  霸王别鹅(豆友译名),达伦·阿罗诺夫斯基 Darren Aronof,娜塔莉·波特曼 Natalie...,,2010,剧情 惊悚,8.6,,
爱乐之城,/ 星声梦里人(港)  /  乐来越爱你(台),达米恩·查泽雷 Damien Chazelle   主演: 瑞恩·高斯林 Ryan Go,瑞恩·高斯林 Ryan Go,,2016,剧情 爱情 歌舞,8.4,,
青蛇,/ Green Snake,徐克 Hark T,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,,1993,剧情 爱情 奇幻 古装,8.6,,
